,bitcoin_price,ethereum_price,dogecoin_price,date,bitcoin_volume,ethereum_volume,dogecoin_volume
0,14884.979991501625,328.65313617052533,0.0039007206761399373,2020-05-19,59676585389.02223,20456353710.130592,315913883.66997427
1,14922.86592517302,326.5385235165648,0.0038912578116815275,2020-05-20,56689738978.0404,15618375339.864637,186766784.18412316
2,14452.798040455416,318.47376680406956,0.0037806895449174135,2020-05-21,52839821528.89777,15822951373.40629,176492255.31362838
3,13795.940127826378,302.89906118170313,0.003681199445190235,2020-05-22,54765261625.15147,12349857479.23314,206428343.49192578
4,13971.4943496681,315.52595161635986,0.0038575696162155668,2020-05-23,42382110562.0333,16274419922.272224,218432288.3748903
5,14030.54238283159,315.80666971174423,0.003874516922482305,2020-05-24,40024080743.46743,13042059727.291048,213957040.62301415
6,13339.45289230501,306.59081085916,0.003705855164976621,2020-05-25,44971029538.233925,16472558235.693275,180542057.91965243
7,13568.364485632546,311.28612328829405,0.003818842121702928,2020-05-26,44492702199.859665,14230372209.068354,229127652.3311978
8,13291.62175663056,302.1940125775281,0.0037709884554083047,2020-05-27,40391299039.35037,12922304865.29357,189219288.6405024
9,13855.441914239727,313.90445739601034,0.0038545443214950104,2020-05-28,43671379233.61266,13249718617.622766,205076572.0370157
10,14390.701979001045,331.03516118489983,0.0038672711117232043,2020-05-29,47895060826.34887,18586711352.174145,240788205.11070544
11,14137.85242397814,330.67060366885374,0.0037513255091619845,2020-05-30,43311734282.72664,15499804572.718891,202829586.15311515
12,14491.159997060498,363.9918424706596,0.003906627166212631,2020-05-31,45338161686.23991,20315335108.492954,189038261.17139184
13,14209.739228613687,348.72465360343557,0.0038347951406674605,2020-06-01,41121898355.01179,16341262077.882292,181794400.03435853
14,14987.540009896888,365.6179391901011,0.003982681082771516,2020-06-02,49677577446.61218,18472743370.820786,193521396.67635232
15,13762.629866550904,343.1751019317578,0.0036527409413743077,2020-06-03,53286193139.763,16241190714.419973,190389652.17403746
16,13921.593968887115,352.36221060153787,0.0037424937517315606,2020-06-04,36404613565.58037,13024870475.490051,173037689.55888605
17,13962.412217684301,348.0644852347381,0.003724442409468985,2020-06-05,35566663027.145645,14372758027.847303,176361790.49660492
18,13829.922495179791,344.776262971457,0.0037106041323193084,2020-06-06,33649987939.511776,11800505327.205462,181230482.25477153
19,13867.081567560692,347.32307789622587,0.0037088106443098246,2020-06-07,27803965641.416286,10880236838.065569,162540188.6082731
20,13908.653837015889,348.8041478914217,0.003710543639626454,2020-06-08,34072004484.655266,13423374537.509989,182508392.14582962
21,13911.790235536831,350.4809424178416,0.0036711013578767052,2020-06-09,30113847764.6723,11571993592.098484,166062534.3895804
22,14059.623687336263,351.02188131446184,0.0036831154695199067,2020-06-10,32884375162.305267,12368876238.28227,159229292.40402696
23,14150.947058836555,354.56798063017095,0.0036961211909245827,2020-06-11,34963928755.64206,10863421630.870142,172224027.01177853
24,13635.89439133445,339.21716430736217,0.0035784375853562325,2020-06-12,45655486331.48563,17705816810.993477,181778936.26234034
25,13792.223735290421,346.05100144842083,0.0036501553572983038,2020-06-13,34375152272.101616,13387280748.24509,203413113.31692305
26,13792.136577327155,347.07085808738526,0.003683179687002976,2020-06-14,28683210991.678932,9595879858.219746,190024519.11537978
27,13687.33732261617,339.93319637711267,0.003652533844704075,2020-06-15,27585908332.710262,9544334021.253975,167370754.78207192
28,13572.385494097283,332.4369448792619,0.003553592478206193,2020-06-16,41962985316.26812,13727645975.751398,214068118.499756
29,13818.973084198931,341.2104118881349,0.003599800466356667,2020-06-17,38288673516.778336,9943975978.742865,209161797.16863775
30,13761.553925162292,340.0828369223753,0.0035997971140687294,2020-06-18,34381802478.27635,8841303054.566103,194692261.66369322
31,13704.992199315424,337.79976556253,0.00358627202221755,2020-06-19,30036654869.105053,8840303525.976418,169406119.1458832
32,13625.333002508503,334.9854161089208,0.0035763425240065458,2020-06-20,34731338152.52915,10008633413.185265,188781168.84734005
33,13694.782237068543,334.85364535308645,0.003585443779420259,2020-06-21,28931603384.473476,7900951594.407567,163651750.11774278
34,13627.268503283827,333.8099035905509,0.003581339998736597,2020-06-22,27825394112.693016,7321152785.680319,164036928.64853957
35,13968.720826621497,351.12490002414427,0.0035736825844189853,2020-06-23,35747213554.447624,8618301126.221132,188857735.14303428
36,13866.725394718933,350.21579171796446,0.0035671191235075337,2020-06-24,25583044638.420425,9064472454.364601,161449699.07821226
37,13546.861011571737,341.8890205436284,0.0035302966564870024,2020-06-25,33814070795.77073,11877995670.925976,192465458.25543433
38,13441.714467016634,337.66144263656844,0.0034982912881759533,2020-06-26,34116056695.533768,9174180074.723528,159348668.65852228
39,13355.60729307186,334.5813369678325,0.0034354099328538787,2020-06-27,32679439960.31191,9490921667.95373,157871650.42830423
40,13133.296463355378,322.0358903825691,0.003348694468988463,2020-06-28,31348354428.266964,8982402000.320858,153936429.26541603
41,13317.021871631445,328.00863502169256,0.0033737782088949183,2020-06-29,28653660929.438354,8220194199.009897,184722020.99331775
42,13361.698507351346,331.9823348499522,0.003359973558712072,2020-06-30,28736891372.86054,8426214053.555871,176322787.37460074
43,13256.629613334851,326.92482118947345,0.0033562655556534245,2020-07-01,28602497679.171635,7655856502.723881,180238752.4770482
44,13348.051612304243,333.5496261774666,0.003408991595219225,2020-07-02,28928355898.81548,7674671561.306197,149398849.25763294
45,13141.125916555875,327.3771591548822,0.0033627318066821992,2020-07-03,28002975761.412724,6397801607.537364,91730214.783466
