,Datetime,Text
0,2022-05-11 23:59:52+00:00,"When Bitcoin was close to breaking $70,000 you felt left out and hopeless. Now it’s under $30,000 and you’re hesitating on buying in?! DON’T ASK GOD FOR BLESSINGS YOU’RE NOT READY FOR! 

#HODL #BTC #ETH #BUYTHEDIP"
1,2022-05-11 23:59:50+00:00,"Poro NFT art bear cute price 0.71 #ETH only for fast dale who follow me
Details twitter me or keyword Poro NFT in opensea
#NFT #NFTs #NFTCommunity https://t.co/iL9vXRP8Ug"
2,2022-05-11 23:59:45+00:00,"After Netflix's tough quarter, Disney+ gains 7.9M more subscribers to reach 138M total https://t.co/FxbIsIQNIl via @techcrunch 

#NFT #love #nftnews #nftart #Community #nftproject #eth #Vevefam #Followback #crypto #art #hro #recur #NFTartists #Music #club #sports"
3,2022-05-11 23:59:42+00:00,It's undoubtedly tough period in crypto space. Crypto is here to stay and incoming pump will be historic. #VOLTINU  #BNB #LUNA  #TERRALUNA #UST #BTC #CRYPTOCRASH #ETH
4,2022-05-11 23:59:26+00:00,The crypto market is oddly predictable long term. Next bull run 2025? #cryptocurrency #Cryptocrash #BTC #ETH #bearmarket #BitcoinCrash
5,2022-05-11 23:59:26+00:00,"$BTC 28.700 is important level!!!!!!
#btc #Bitcoin #luna #eth $eth #Ethereum #terra #lunausdt #Tether https://t.co/b5jrw23ys7"
6,2022-05-11 23:59:20+00:00,"Dare we not say good morning from🇿🇦 with incredible art☀️🔥...OURS IS A MOVEMENT
#NFTCommunity #NFTs #NFT #NFTCollectibles #NFTArt #art #abstract #Bitcoin #ETH #NFTCollectors https://t.co/76eJd0qXkr"
7,2022-05-11 23:59:20+00:00,@TheMoonCarl #ETH for now
8,2022-05-11 23:59:18+00:00,"Holy shit man I just saw the price of $LUNA, I remember kicking myself for not having any not long ago, honestly man crypto is wild, RIP to all those that got rekt 😿❤️

#cryptocrash #ust #terra #luna #CryptocurrencyNews #btc #eth #link #linkmarines"
9,2022-05-11 23:59:18+00:00,Share an #ETH adress #NFT project.  Like &amp; RT 🍴
10,2022-05-11 23:59:00+00:00,"RandoMice have the best traits out of all NFT projects 😉

#RandoMice #NFT #NFTs #ETH #NFTCommunity"
11,2022-05-11 23:58:37+00:00,Zodiac DFO (ZODI) went up 12.6 percent in the last 1 minutes on https://t.co/rgEAV9gIXu. #ZODI  #crypto #bitcoin #cryptocurrency #btc #ethereum #blockchain #eth #trading #altcoin #binance #cryptonews
12,2022-05-11 23:58:36+00:00,"#DOCKUSDT Bear Alert!

5X Volume
Price:      0.01616
5-min %: -3.1%
Volume:  $10,470
 
#crypto #whale #btc #eth #DOCK $DOCK https://t.co/hz4ujrR1zh"
13,2022-05-11 23:58:31+00:00,"Yeni Haber CoinNews:
Bitcoin Breaks Below $28.6K: Recording Its Lowest Level Since January 2021 [https://t.co/KNEEo0VLQ2] -5 (2 hours ago)
#btc #eth #coin #metaverse #crypto #Bitcoin"
14,2022-05-11 23:58:15+00:00,"Gas used in currently pending transactions:

🚀 15 seconds &gt;&gt;&gt;&gt; 152 Gwei
🚗 1 minute  &gt;&gt;&gt;&gt;&gt; 129 Gwei
🐌 3 minutes &gt;&gt;&gt;&gt;&gt; 109 Gwei
🦥 &gt;10 minutes &gt;&gt;&gt; 98 Gwei

#Ethereum #ETH #GasPrice"
15,2022-05-11 23:58:11+00:00,"الناس مثل العملات الرقمية متذبذبين في آرائهم !!

اذا صاروا بالقمة قالوا افضل طريقة هي الاستثمار !!

واذا صاروا بالقاع قالوا ما يفيدك الاستثمار !!

🤣🤣🤣🤣 🥊 

#btc #eth #LUNA #sol #USDD #usd #USDTether https://t.co/QE6MOFiDEo"
16,2022-05-11 23:58:08+00:00,"If you get caught holding the bag your choices are:
1)sell at a loss and cry(stupid decision)
2)sell at a loss and use the remaining to bet on the project that will bounce back faster
3)hodl
4)Hodl while staking 🔥
Also, Never put all your eggs in one basket.
#btc #ETH #luna #ust"
17,2022-05-11 23:58:08+00:00,"#XECUSDT Bull Alert!

5X Volume
Price:      0.00003571
5-min %: 2.2%
Volume:  $271,856
 
#crypto #whale #btc #eth #XEC $XEC https://t.co/Sd7ZbUSZ1f"
18,2022-05-11 23:58:03+00:00,"BUT WAIT THERES MORE 
😳😳😳😳😳😳

You also go in the running to win this @AAPEQueens 

😳😳😳😳😳😳

#NFTGiveaway #nft #ETH #NFTCommunity #AAPEQUEENS https://t.co/SAaSLhHOny"
19,2022-05-11 23:58:00+00:00,"In the next patch of heimdall I plan to bring fixes for broken require statements, external calls, loops, and a bug where function logic isn't written.

Stay tuned.

#ETH #Ethereum #Crypto #Cryptocurrency #Solidity #NFTs"
20,2022-05-11 23:57:46+00:00,"Since ATHs

$ETH -57.5%
$BTC - 58.2%
$BNB -60.9%
$NEAR -69.2%
$ATOM -76.0%
$AVAX -78.8%
$SOL -80.8%
$ADA -83.4%
$DOT -83.9%
$HBAR -84.2%
$ALGO -87.7%
$LUNA -99.1%

""ETH Killers"" are a meme.
""BTC is hard money and the best SoV"" is also a meme. 

#Bitcoin #Ethereum #BTC #ETH"
21,2022-05-11 23:57:24+00:00,"Rob the Dude x Valentino Pink
Curly Rob just landed👏👏👏
One and only one!❤️❤️❤️

#NFT #NFTCommunity #nftart #NFTProject #Bitcoin #ETH #Solana #RobtheDude #JustRob #CurlyRob #ScaryRob #Blockchain #Ethereum #Valentino #valentinopink https://t.co/v2shBdiaSa"
22,2022-05-11 23:56:42+00:00,Share an #ETH adress #NFT.  Like &amp; RT 🤖
23,2022-05-11 23:56:41+00:00,"DNAnas NFT - because humans share 50% of their DNA with bananas!

Launching on Ethereum - stay tuned follow and subscribe for updates!

Retweet if you like our artwork!

#DNAnasNFT #nft #pixelart #eth https://t.co/bwZSNsovwi"
24,2022-05-11 23:56:38+00:00,"Coinbase Global CEO tries to calm users after a recent filing said they could lose access to their cryptocurrencies if the company entered bankruptcy proceedings.
https://t.co/DPH0Ugf8cR
#NFT #nftnews #nftart #Community  #eth #Vevefam #Followback #crypto #hro #recur #NFTartists"
25,2022-05-11 23:56:28+00:00,🎉GIVEAWAY!🎉🏆 $50 #ETH #SolanaAnd We are giving away 10 WL courtesy of the team theworldofadenTo Enter:1⃣Follow th…
26,2022-05-11 23:56:24+00:00,"With #ETH at its current prices you should introduce your friends to NFTs. Can you believe you can get into the #keepwatchcrew for as little as $50+gas?! 

#mishka #keepwatch https://t.co/7E88iiZGYf"
